pos_name,salary_low_bound,salary_high_bound,salary_fee_months,main_tech,pos_keyword,pos_domain,city,location,degree,exp,person_in_charge,charge_pos,pos_responsibility,pos_requirement,pos_detail,enterprise,enterprise_scale,create_time
java高级工程师,25.0,45.0,18,"SpringCloud,架构设计","SpringCloud,架构设计",,上海,,本科,经验不限,徐先生,系统架构师,,,,美的集团软件组织,10000人以上,2022-06-11 22:20:42
初级java开发工程师,10.0,15.0,13,"框架开发,框架设计,Java","框架开发,框架设计,Java",,上海,浦东新区,大专,1-3年,过女士,,,,,上海恒联网络有限公司,50-99人,2022-06-11 22:20:42
Java开发工程师（AI）(J10053),15.0,30.0,14,"JVM,Netty,通信领域,框架开发,框架设计,Java,MySQL,TDSQL,GaussDB,Oracle","JVM,Netty,通信领域,框架开发,框架设计,Java,MySQL,TDSQL,GaussDB,Oracle",,武汉,洪山区,本科,1-3年,乐女士,hrbp leader,,,,容联易通信息北京,美股上市,2022-06-11 22:20:42
java开发工程师,19.0,23.0,13,"SpringCloud,需求分析,SpringMVC,架构设计,SpringBoot,jQuery,Struts,Mybatis,Java,Redis","SpringCloud,需求分析,SpringMVC,架构设计,SpringBoot,jQuery,Struts,Mybatis,Java,Redis",,北京,海淀区,统招本科,5-10年,周先生,HR,,,,微创软件,10000人以上,2022-06-11 22:20:42
JAVA开发岗,10.0,15.0,16,"再保业务,财务收付信息化建,Java,Spring生态,常用的数据库","再保业务,财务收付信息化建,Java,Spring生态,常用的数据库",,武汉,江夏区,统招本科,1-3年,陈先生,,,,,太平金融科技服务(上海)有限公司,1000-2000人,2022-06-11 22:20:42
JAVA研发工程师（管培生）,10.0,16.0,12,java,java,,南京,雨花台区,本科,一年以下,周先生,总监,,,,南京硅基智能科技有限公司,C轮,2022-06-11 22:20:42
java工程师,14.0,25.0,12,"SpringMVC,Spring Boot,Spring Cloud,Spring,Java,Dubbo,Redis,Oracle,MySQL","SpringMVC,Spring Boot,Spring Cloud,Spring,Java,Dubbo,Redis,Oracle,MySQL",,深圳,南山区,本科,3-5年,邓先生,招聘主管,,,,万魔声学,500-999人,2022-06-11 22:20:42
java软件工程师,18.0,27.0,12,"分布式,spring,java,mysql,mybatis,数据库,hibernate,oracle,linux,struts","分布式,spring,java,mysql,mybatis,数据库,hibernate,oracle,linux,struts",,南京,,本科,5-10年,唐先生,云计算课题组长,,,,中国科学院计算技术研究所,其他,2022-06-11 22:20:42
JAVA高级开发工程师（跨境电商）,15.0,25.0,13,"电商领域,架构设计,大数据领域,前端开发,后端开发,模块开发,需求分析,框架开发,框架设计,Java","电商领域,架构设计,大数据领域,前端开发,后端开发,模块开发,需求分析,框架开发,框架设计,Java",,重庆,渝北区,本科,3-5年,陈先生,java高级工程师,,,,云雅科技,50-99人,2022-06-11 22:20:42
JAVA开发工程师,9.0,25.0,12,"Java,Spring,Mybatis","Java,Spring,Mybatis",,重庆,,统招本科,3-5年,杜先生,工程师,,,,长安汽车,已上市,2022-06-11 22:20:42
