job_title,job_dq,job_tag,job_salary,job_labels,company,company_field,company_size,hr,hr_pos
资深java开发工程师,上海,,25-30k,"5-10年,统招本科,分布式,spring,java,mysql,数据库,oracle,linux,dubbo",顶昂科技,汽车后市场,100-499人,张女士,人事主管
java开发,上海-徐汇区,,20-25k,"5-10年,大专,java,mysql,mybatis,数据库,redis",北京瑞友科技股份有限公司,计算机软件,其他,李女士,招聘
Java开发工程师,北京-海淀区,,15-35k·14薪,"经验不限,本科,分布式,spring,java,mysql,mybatis,redis,dubbo,shell",北京深睿博联科技有限责任公司,医疗器械,100-499人,张女士,hr
java工程师(双休+五险一金）,郑州,,8-12k,"3-5年,大专,分布式,spring,java,mybatis,数据库,redis,oracle,sql,git,idea",郑州软语科技有限公司,计算机软件,100-499人,米女士,HR
高级JAVA开发,西安-雁塔区,,12-20k,"5-10年,大专,分布式,spring,java,mysql,mybatis,数据库,redis,oracle,linux,jquery",广州天维信息技术股份有限公司,计算机软件,新三板上市,张女士,
java开发工程师,上海,,12-24k,"1-3年,本科,spring,java,mysql,redis,vue,etl",深圳市雪球科技有限公司,互联网/电商,50-99人,倪女士,HRM
Java开发工程师 (MJ000620),广州-天河区,,15-25k,"1-3年,大专,spring,java,linux,sql,javascript,html,eclipse",瞬联软件科技,计算机软件,1000-2000人,刘女士,招聘经理
高级java开发工程师,广州-海珠区,,20-25k,"5-10年,大专,分布式,spring,java,mysql,mybatis,数据库,redis,dubbo,mongodb,postgresql",湛蓝科技,互联网/电商,融资未公开,刘先生,招聘经理
java开发工程师,苏州-工业园区,,10-20k,"1-3年,统招本科,mysql,sql,socket技术,svn,webserver",苏州伊欧陆系统集成有限公司,电子/芯片/半导体,50-99人,朱女士,人事
java软件开发,佛山-顺德区,,10-15k·13薪,"1-3年,大专,软件开发,二次开发",炬森五金,机械设备制造,2000-5000人,王女士,招聘专员
中高级java开发工程师,上海,,15-25k,"3-5年,统招本科,分布式,spring,java,mysql,数据库,oracle,linux,dubbo",顶昂科技,汽车后市场,100-499人,陈女士,人事专员
初级java工程师,上海,,10-14k,"1-3年,统招本科,分布式,spring,java,mysql,数据库,oracle,linux,dubbo",顶昂科技,汽车后市场,100-499人,陈女士,人事专员
java开发工程师-Sony项目,成都-高新区,,10-15k,"经验不限,本科,spring,java,hibernate,linux,git,docker,idea",软通动力分支机构,互联网/电商,10000人以上,徐女士,猎头顾问
Java开发工程师-本部,成都,,12-15k,"3-5年,本科,spring,java,hibernate,linux,git,docker,idea",软通动力分支机构,互联网/电商,10000人以上,马女士,顾问(C)
高级java开发工程师,南京-江宁区,,18-25k·15薪,"3-5年,本科,分布式,spring,java,mysql,mybatis,数据库,redis,sql",天与养老,互联网+,A轮,郭女士,人力资源经理
中级java开发工程师,北京-朝阳区,,16-32k·14薪,"3-5年,大专,分布式,spring,java,mysql,mybatis,数据库,redis,sql,netty,python",深圳市雪球科技有限公司,互联网/电商,50-99人,倪女士,HRM
java开发工程师（数据治理）,广州,,15-20k·13薪,"3-5年,本科,java",广州金越软件技术有限公司,计算机软件,融资未公开,林女士,人事
JAVA中级开发工程师,广州-黄埔区,,15-18k,"3-5年,统招本科,spring,java,mysql,mybatis,数据库,redis",恒峰信息技术有限公司,在线教育,已上市,何女士,HR
Java开发工程师,北京-昌平区,,8-15k·14薪,"经验不限,统招本科,java,mysql,mybatis,数据库,redis,oracle,linux,sql",荣盛盟固利新能源科技有限公司,新能源,2000-5000人,程女士,招聘经理
Java开发工程师,常州-钟楼区,,10-20k,"3-5年,学历不限,spring,java,mysql,mybatis,数据库,redis,linux,sql,git,docker",中电数字,医疗信息化,100-499人,朱女士,HR 经理
java工程师,杭州-上城区,,13-26k·15薪,"1-3年,统招本科,分布式,spring,java,mysql,mybatis,redis,sql,dubbo,nosql,mongodb",金帝联合控股集团有限公司,房产开发,500-999人,宋女士,
应用开发工程师（JAVA）,北京,,10-14k,"1-3年,大专,java,sql,javascript,html,git,ssm,mysql,oracle,redis,服务器配置",同方股份计算机产业本部,计算机/网络设备,10000人以上,张女士,招聘主管
MES（Java） 工程师,上海-浦东新区,,10-16k,"3-5年,本科,java,mysql,数据库,oracle,sql,javascript,android,c#",赫比国际,电子/芯片/半导体,10000人以上,涂女士,人事
后端中级JAVA工程师,广州-天河区,,18-25k,"3-5年,大专,分布式,spring,java,mysql,mybatis,数据库,oracle,linux,sql,dubbo",贤能数科,互联网金融,50-99人,黄女士,人力总监
Java开发工程师,上海-静安区,,15-17k,"3-5年,大专,分布式,spring,java,mysql,mybatis,数据库,hibernate,oracle,linux",上海媛福达贸易有限公司,快消品,500-999人,张女士,招聘经理/主管
java开发工程师,广州,,12-17k,"3-5年,统招本科,分布式,java,mysql,mybatis,数据库,redis,oracle,nosql,git",壹链盟,金融科技,100-499人,徐先生,招聘经理
java开发工程师,杭州-拱墅区,,14-20k·13薪,"3-5年,大专,分布式,spring,java,mysql,数据库,linux",全速网络,互联网+,1000-2000人,张先生,招聘官
java开发工程师,上海-浦东新区,,10-15k·15薪,"经验不限,统招本科,spring,java,mysql,mybatis,数据库,redis,sql,nosql,前端开发",上海元年金融信息服务有限公司,基金,100-499人,王女士,人力资源副经理
java工程师,北京-朝阳区,,15-30k,"1-3年,大专,spring,java,svn,git,netty",德联易控,互联网/电商,50-99人,胡女士,HRD
高级java工程师,无锡-新吴区,,15-30k,"3-5年,本科,java",江苏奥立信数字科技有限公司,计算机软件,50-99人,缪女士,人力资源总监
后端Java开发工程师,苏州-相城区,,10-20k,"1-3年,本科,分布式,spring,java,mysql,mybatis,数据库,redis,linux,sql,nosql",苏州高铁新城人力资源管理有限公司,专业服务,1-49人,顾先生,寻访员(R)
高级开发工程师（JAVA）,杭州,,15-25k,"3-5年,本科,分布式,spring,java,mysql,数据库,redis,oracle,linux,sql,dubbo",顿力集团,机械/机电/重工,1000-2000人,施女士,招聘经理
高级Java开发工程师 (MJ000022),上海,,面议,"5-10年,统招本科,java,mysql,mybatis,数据库,redis,oracle,linux,sql,dubbo,netty",快仓智能,人工智能,C轮,任女士,人力资源总监
java工程师,北京-朝阳区,,10-14k,"1-3年,大专,java,android",美兰德,专业服务,50-99人,孙女士,副总经理
java开发工程师,上海-静安区,,15-30k,"3-5年,统招本科,spring",名筑科技信息有限公司,B2B,1-49人,单女士,招聘经理
